City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,rio grande,-32.035,-52.0986,15.06,74,90,7.04,BR,1691530425
303,coahuayana de hidalgo,18.7,-103.6583,33.1,65,43,3.41,MX,1691530426
304,posto fiscal rolim de moura,-13.0833,-62.2667,30.84,32,0,0.81,BR,1691530426
305,kingston,17.997,-76.7936,32.53,76,20,9.77,JM,1691530149
306,vershino-darasunskiy,52.35,115.5167,13.08,67,10,0.42,RU,1691530426
307,wakkanai,45.4094,141.6739,18.94,98,100,3.58,JP,1691530427
308,akjoujt,19.6969,-14.4164,34.41,20,0,4.57,MR,1691530427
309,sur,22.5667,59.5289,30.76,58,3,5.01,OM,1691530427
310,chonchi,-42.6128,-73.8092,10.56,98,100,2.36,CL,1691530428
311,castillos,-34.1667,-53.8333,9.26,87,36,2.78,UY,1691530428
312,mont-dore,-22.2833,166.5833,20.56,99,65,3.94,NC,1691530428
313,verkhniy baskunchak,48.2256,46.7217,30.24,26,22,3.19,RU,1691530428
314,floro,61.5996,5.0328,11.09,93,100,7.2,NO,1691530429
315,newman,37.3138,-121.0208,36.14,20,0,4.02,US,1691530429
316,al wajh,26.2455,36.4525,31.97,43,0,1.54,SA,1691530429
317,salalah,17.0151,54.0924,26.05,94,100,3.09,OM,1691530430
318,portsmouth,50.799,-1.0913,17.73,94,100,2.68,GB,1691530430
319,necochea,-38.5473,-58.7368,7.13,73,88,4.76,AR,1691530430
320,cidade velha,14.9167,-23.6167,26.26,65,20,6.17,CV,1691530431
321,yelizovo,53.1873,158.3805,12.08,87,20,3.0,RU,1691530431
322,remire-montjoly,4.9167,-52.2667,29.02,74,0,4.12,GF,1691530431
323,camarinas,43.1311,-9.1817,21.63,70,0,2.34,ES,1691530431
324,andergrove,-21.0833,149.1833,18.11,83,12,6.83,AU,1691530432
325,zeya,53.75,127.2667,17.84,70,100,2.01,RU,1691530432
326,leeton,-34.5667,146.4,7.27,82,10,2.59,AU,1691530432
327,kargasok,59.0556,80.8572,14.29,72,95,2.95,RU,1691530433
328,kingsbridge,50.2845,-3.7764,16.98,87,99,4.51,GB,1691530433
329,la passe,45.5549,-0.8967,19.13,64,17,3.73,FR,1691530433
330,berdigestyakh,62.0989,126.6992,15.26,60,22,2.82,RU,1691530434
331,alameda,37.5999,-121.8844,33.12,46,0,4.63,US,1691530434
332,biloela,-24.4167,150.5,15.15,68,2,5.33,AU,1691530434
333,nadym,65.5333,72.5167,11.48,80,100,8.21,RU,1691530435
334,arauca,7.0847,-70.7591,33.98,59,20,0.0,CO,1691530215
335,ulaangom,49.9811,92.0667,17.19,86,100,3.05,MN,1691530435
336,moreira,41.056,-8.3894,22.99,86,0,0.9,PT,1691530435
337,pisco,-13.7,-76.2167,22.03,68,0,6.69,PE,1691530150
338,choyr,46.3611,108.3611,16.72,67,51,4.77,MN,1691530436
339,yarkovo,57.4028,67.0786,15.0,74,0,2.43,RU,1691530436
340,laja,-37.2667,-72.7,14.16,65,100,1.11,CL,1691530436
341,daru,-9.0763,143.2092,24.42,80,62,6.96,PG,1691530437
342,winkler,49.1817,-97.941,26.1,50,60,4.12,CA,1691530259
343,bathsheba,13.2167,-59.5167,29.34,84,20,4.63,BB,1691530437
344,churapcha,62.0025,132.4325,15.54,56,56,2.1,RU,1691530437
345,nikel,69.4128,30.222,21.1,83,2,2.89,RU,1691530438
346,tamanrasset,22.785,5.5228,30.95,29,100,8.23,DZ,1691530438
347,neftcala,39.3742,49.2472,27.74,69,0,2.95,AZ,1691530438
348,kipushi,-11.7667,27.2333,15.73,45,17,1.83,CD,1691530438
349,suva,-18.1416,178.4415,24.71,78,40,3.6,FJ,1691530439
350,severo-yeniseyskiy,60.3725,93.0408,9.64,97,66,1.89,RU,1691530439
351,grootfontein,-19.5667,18.1167,16.76,34,77,1.03,NA,1691530439
352,vilyuysk,63.7553,121.6247,15.24,51,12,3.08,RU,1691530439
353,tefe,-3.3542,-64.7114,34.06,46,20,3.09,BR,1691530440
354,mournies,35.4764,24.0092,27.13,83,0,0.0,GR,1691530440
355,hithadhoo,-0.6,73.0833,27.36,75,100,2.26,MV,1691530440
356,taulaga,-11.0553,-171.0883,27.65,73,30,4.59,AS,1691530440
357,tofol,5.3248,163.0078,27.57,81,100,8.14,FM,1691530441
358,igarka,67.4667,86.5833,15.02,63,89,3.11,RU,1691530441
359,civril,38.3014,29.7386,19.88,75,0,2.51,TR,1691530441
360,gniew,53.836,18.8231,13.29,85,85,5.59,PL,1691530442
361,selfoss,63.9331,-20.9971,11.69,83,79,0.76,IS,1691530442
